"","game","Point","Our score at pull","Opponent's score at pull","Started on offense?","Scored?","Possessions","Passes","Turnovers","Thrower errors","Receiver errors","Defensive blocks","Opposition errors","Secondary assist","Assist","Goal"
"152","Pitt 2025-03-01_13-30",18,10,7,1,1,1,2,0,0,0,0,0,"Carter Hawkins","Caelan McSweeney","Gavin Abrahamson"
"153","Pitt 2025-03-01_13-30",19,11,7,0,1,3,12,2,2,0,1,2,"Calan Kirkpatrick","Leo Narbonne","Wes K-H"
"154","Pitt 2025-03-01_13-30",20,12,7,0,1,1,4,0,0,0,0,1,"Charlie Leightheiser","Tomo Liou","Sam Green"
"155","Pitt 2025-03-01_13-30",21,13,7,0,0,0,0,0,0,0,0,0,NA,NA,NA
"156","Pitt 2025-03-01_13-30",22,13,8,1,1,1,8,0,0,0,0,0,"Shiff Burt","Roan Dunkerley","Gavin Abrahamson"
"157","Pitt 2025-03-01_13-30",23,14,8,0,1,1,6,0,0,0,0,1,"Chaz Norris","Charlie Leightheiser","Wes K-H"
"158","Pitt 2025-03-01_13-30",24,15,8,0,0,0,0,0,0,0,0,0,NA,NA,NA
"159","Texas 2025-02-28_11-30",1,0,0,1,1,3,15,2,1,1,0,2,"Griffin Gee","Caelan McSweeney","Ethan Lieman"
"160","Texas 2025-02-28_11-30",2,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"161","Texas 2025-02-28_11-30",3,1,1,1,0,1,3,1,1,0,0,0,NA,NA,NA
"162","Texas 2025-02-28_11-30",4,1,2,1,1,3,11,2,2,0,0,2,"Gavin Abrahamson","Caelan McSweeney","Gavin Abrahamson"
"163","Texas 2025-02-28_11-30",5,2,2,0,0,0,0,0,0,0,0,0,NA,NA,NA
"164","Texas 2025-02-28_11-30",6,2,3,1,0,1,1,1,1,0,0,0,NA,NA,NA
"165","Texas 2025-02-28_11-30",7,2,4,1,1,3,12,2,2,0,2,0,"Caelan McSweeney","Mason Stone","Roan Dunkerley"
"166","Texas 2025-02-28_11-30",8,3,4,0,1,1,2,0,0,0,0,1,"Mason Stone","Griffin Gee","Nadav Berkman"
"167","Texas 2025-02-28_11-30",9,4,4,0,0,1,10,1,1,0,0,1,NA,NA,NA
